column_one,column_two
$12N3011,DL1A
$12N3011,R2141
$2N1496,RN5113
$2N1496,U1R10
$5N2577,U142
$5N2577,C702
$6N3299,U1756
$6N3299,TP741
RF-TxRx-D1,TP1561
RF-TxRx-D1,RN22
RF-TxRx-D1,U1D14
$2N445,U1L1
$2N445,R2192
$5N1204,U1221
$5N1204,L72
QUADSPI_BK1_IO1,RN552
QUADSPI_BK1_IO1,U22
$7N1734,U1761
$7N1734,L362
$7N1734,C1461
$7N2131,U193
$7N2131,R1491
$7N2131,R1551
TMS,U1A15
TMS,P1022
$12N1210,C2421
$12N1210,U284
$12N1210,R2001
$12N1210,R1982
$2N2316,Q101
$2N2316,R2241
$6N2529,R1201
$6N2529,C1191
$6N2529,TP381
$6N2529,U17114
$2N520,U1N13
$2N520,RN5515
FMC_D1,U3B9
FMC_D1,RN506
$8N6534,U223
$8N6534,C2052
FMC_SDNCAS,U3F7
FMC_SDNCAS,RN545
GNSS-1PPS,R32
GNSS-1PPS,U1B8
$5N1349,U1223
$5N1349,U1222
$5N1349,C821
$5N1349,R2182
$5N1349,C661
$6N1205,U1796
$6N1205,C942
$6N2136,C1171
$6N2136,TP361
$6N2136,U17116
$6N2136,R1192
TCK,P1024
TCK,U1A14
$1N2726,U1R1
$1N2726,L32
$1N2726,C351
$7N1407,L332
$7N1407,U1758
$7N1407,C1431
$8N1951,FL2E
$8N1951,L522
$12N890,Q71
$12N890,R531
$12N890,R931
$2N1401,U1R8
$2N1401,RN5016
$2N673,U1J2
$2N673,RN5213
$2N673,TP1511
$13N550,R2591
$13N550,Q121
$6N11829,R1001
$6N11829,C1152
$6N2143,C1172
$6N2143,R1021
$11N4153,R2351
$11N4153,D33C
$11N4153,R2112
$2N711,U1K3
$2N711,RN5211
$2N1609,RN5110
$2N1609,U1P14
$2N936,U1K13
$2N936,RN5414
5V-FILT,C162
5V-FILT,R511
5V-FILT,R551
5V-FILT,U362
5V-FILT,C2361
5V-FILT,TP861
5V-FILT,U281
5V-FILT,R502
5V-FILT,U301
5V-FILT,C2682
5V-FILT,L632
5V-FILT,C192
5V-FILT,R521
5V-FILT,C2491
RF-TxRx-D11,TP1021
RF-TxRx-D11,RN25
RF-TxRx-D11,U1E4
TDI,U1A13
TDI,P1028
$1N3136,U1R15
$1N3136,R432
$5N7963,U127
$5N7963,R2061
BLE-UART-CTS,U1316
BLE-UART-CTS,U1D10
FMC_D0,U3A8
FMC_D0,TP1161
FMC_D0,RN505
RST#,U1J1
RST#,C202
RST#,U42
RST#,R2432
$10N430,P154
$10N430,R1811
$6N3450,U1748
$6N3450,C1651
$6N3450,C1541
$6N3450,L161
FMC_NBL1,U3F1
FMC_NBL1,RN536
JTAG-RST,U1A9
JTAG-RST,R2132
TDO,U1A10
TDO,P1026
$12N4833,TP1601
$12N4833,U2720
$5N8032,U121
$5N8032,TP181
$6N4285,U1723
$6N4285,RN915
2.85V_RF_VREF,C2771
2.85V_RF_VREF,U321
2.85V_RF_VREF,C2711
2.85V_RF_VREF,C2851
2.85V_RF_VREF,U375
FMC_A3,U3J7
FMC_A3,RN524
DIG-ANA-IN-6,R2352
DIG-ANA-IN-6,U1L2
DIG-ANA-IN-6,C2911
DIG-ANA-IN-6,TP1471
CONN-IO-6,C2151
CONN-IO-6,R2111
CONN-IO-6,D191
CONN-IO-6,R2522
CONN-IO-6,R1862
GNSS-LNA-VCC,U129
GNSS-LNA-VCC,TP171
$1N988,U1E1
$1N988,C11
$1N988,Y11
$8N5800,E21
$8N5800,U316
GNSS-EXT-INTR,U1A8
GNSS-EXT-INTR,R151
CONN-IO-PU-2,U1P4
CONN-IO-PU-2,D36A
CONN-IO-PU-2,TP971
PROC_LIME_CLK_EN,U341
PROC_LIME_CLK_EN,U1B1
PROC_LIME_CLK_EN,TP1201
RF-TxRx-SPI-SS#,R411
RF-TxRx-SPI-SS#,R121
$11N4137,R2341
$11N4137,R2102
$11N4137,D32C
$2N464,RN5514
$2N464,U1K1
DIG-ANA-IN-5,R2342
DIG-ANA-IN-5,U1L3
DIG-ANA-IN-5,C2901
DIG-ANA-IN-5,TP1451
$12N3325,U367
$12N3325,TP701
$2N1364,RN5010
$2N1364,U1C12
$2N616,TP1491
$2N616,U1E2
$2N616,RN5216
$5N8241,U125
$5N8241,TP251
$2N1515,U1N11
$2N1515,RN5115
HW-Version,U1F4
HW-Version,R2252
HW-Version,R2261
$1N990,U1F1
$1N990,C21
$1N990,Y12
$6N10327,C2671
$6N10327,R2371
$6N10327,R2362
$6N10327,U331
FMC_SDCLK,U3F2
FMC_SDCLK,RN542
$7N2133,C1062
$7N2133,R81
$7N2133,U194
$7N2133,R1552
$2N635,U1H3
$2N635,RN5215
$2N842,U1N7
$2N842,RN5316
$6N2542,C1531
$6N2542,R1292
$6N2542,R1311
$7N1818,C1481
$7N1818,R1162
$7N1818,R1452
$7N1818,L382
$5N30,U1220
$5N30,L81
$11N1355,Q81
$11N1355,R901
$11N1355,R482
ACCL-INTR1,U1111
ACCL-INTR1,U1E12
GNSS-LNA-EN,R142
GNSS-LNA-EN,U1B10
QUADSPI_CLK,U26
QUADSPI_CLK,R2191
RF-TxRx-D10,TP1061
RF-TxRx-D10,RN28
RF-TxRx-D10,U1E3
$1N1094,U1R12
$1N1094,RN5511
$1N1854,R271
$1N1854,R242
$1N1854,U1C6
PROC_RES_36MHz,U351
