column_one,column_two
"""$10N1415""",C2221
"""$10N1415""",D171
"""$10N1415""",L11
"""$10N1415""",P159
"""$10N1432""",L21
"""$10N1432""",D181
"""$10N1432""",P158
"""$10N1432""",C2211
"""$10N1813""",R2021
"""$10N1813""",P151
"""$10N430""",P154
"""$10N430""",R1811
"""$10N461""",P157
"""$10N461""",R1821
"""$10N479""",P156
"""$10N479""",R1831
"""$10N497""",P1510
"""$10N497""",R1841
"""$10N515""",P1511
"""$10N515""",R1851
"""$10N533""",P1512
"""$10N533""",R1861
"""$10N924""",D8C
"""$10N924""",C2231
"""$10N924""",L541
"""$11N1355""",R482
"""$11N1355""",R901
"""$11N1355""",Q81
"""$11N1360""",D9C
"""$11N1360""",Q83
"""$11N4073""",R2301
"""$11N4073""",D28C
"""$11N4073""",R1872
"""$11N4089""",R2072
"""$11N4089""",D29C
"""$11N4089""",R2311
"""$11N4105""",R2082
"""$11N4105""",D30C
"""$11N4105""",R2321
"""$11N4121""",D31C
"""$11N4121""",R2331
"""$11N4121""",R2092
"""$11N4137""",D32C
"""$11N4137""",R2341
"""$11N4137""",R2102
"""$11N4153""",R2112
"""$11N4153""",D33C
"""$11N4153""",R2351
"""$11N4231""",D35C
"""$11N4231""",R2471
"""$11N4256""",R2481
"""$11N4256""",D36C
"""$11N4329""",R2491
"""$11N4329""",D37C
"""$11N4402""",R2501
"""$11N4402""",D38C
"""$11N4438""",R2511
"""$11N4438""",D39C
"""$11N4474""",D40C
"""$11N4474""",R2521
"""$12N1210""",R1982
"""$12N1210""",R2001
"""$12N1210""",U284
"""$12N1210""",C2421
"""$12N1211""",R2411
"""$12N1211""",R2402
"""$12N1211""",U366
"""$12N1212""",R512
"""$12N1212""",R332
"""$12N1212""",U361
"""$12N1226""",R1992
"""$12N1226""",R2011
"""$12N1226""",C2441
"""$12N1226""",U304
"""$12N1227""",R522
"""$12N1227""",R342
"""$12N1227""",U305
"""$12N1232""",R501
"""$12N1232""",U285
"""$12N2495""",R1991
"""$12N2495""",C2442
"""$12N2495""",R852
"""$12N2495""",U302
"""$12N2495""",C2391
"""$12N2495""",C181
"""$12N2528""",C2791
"""$12N2528""",C2782
"""$12N2528""",R862
"""$12N2528""",R2401
"""$12N2528""",U364
"""$12N2528""",U365
"""$12N294""",U274
"""$12N294""",R221
"""$12N294""",C2311
"""$12N296""",C2291
"""$12N296""",R222
"""$12N3011""",R2141
"""$12N3011""",DL1A
"""$12N305""",U271
"""$12N305""",C2301
"""$12N3172""",C2802
"""$12N3172""",U368
"""$12N3325""",TP701
"""$12N3325""",U367
"""$12N353""",C2322
"""$12N353""",U2718
"""$12N400""",C111
"""$12N400""",U2717
"""$12N401""",C112
"""$12N401""",L621
"""$12N401""",U277
"""$12N401""",U278
"""$12N401""",U2713
"""$12N401""",U2714
"""$12N401""",D26C
"""$12N446""",L631
"""$12N446""",TP851
"""$12N446""",C121
"""$12N446""",R2142
"""$12N446""",C2331
"""$12N446""",L622
"""$12N446""",C851
"""$12N446""",C2341
"""$12N446""",Q94
"""$12N446""",R1931
"""$12N446""",C2351
"""$12N446""",R232
"""$12N4831""",TP1591
"""$12N4831""",U2719
"""$12N4833""",TP1601
"""$12N4833""",U2720
"""$12N887""",Q73
"""$12N887""",Q93
"""$12N887""",R231
"""$12N890""",Q71
"""$12N890""",R531
"""$12N890""",R931
"""$13N105""",U385
"""$13N105""",C2991
"""$13N105""",R2611
"""$13N105""",R2572
"""$13N206""",D42C
"""$13N206""",R842
"""$13N206""",Q142
"""$13N206""",R2642
"""$13N209""",R2581
"""$13N209""",Q111
"""$13N303""",Q113
"""$13N303""",R2602
"""$13N362""",R2632
"""$13N362""",D411
"""$13N362""",R2601
"""$13N362""",Q133
"""$13N395""",R2552
"""$13N395""",Q123
"""$13N492""",U383
"""$13N492""",R2551
"""$13N492""",R2612
"""$13N550""",R2591
"""$13N550""",Q121
"""$13N600""",Q141
"""$13N600""",R2641
"""$13N600""",R2651
"""$13N600""",R2561
"""$1N1094""",RN5511
"""$1N1094""",U1R12
"""$1N1852""",R261
